id,title,description,provider,delivery_mode,cost_gbp,cost_category,duration,duration_category,access,education_outcome,target_audience,category,sub_theme,url,asset_category,review_status,image_url
106,Homelessness and Temporary Accommodation,"Homelessness and Temporary Accommodation
Learn about temporary accommodation, including when accommodation must be offered, the rights of occupiers and suitability challenges.",Shelter,Online,0,Free,90 mins,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Inclusion Health""]","[""Homelessness""]",https://england.shelter.org.uk/professional_resources/shelter_training/homelessness_applications/homelessness_temporary_accommodation_course,"[""Course""]",Approved,
107,HENRY group facilitation training,"HENRY group facilitation training

facilitation skills to deliver our interactive group programmes using the HENRY approach
building on parents’ strengths
skills and confidence to manage issues that can arise in groups - listening, empathy and solution-focused support
familiarisation with content of our programmes and workshops
introduction to programme manuals and resources
You must have completed the HENRY core training before attending this course.",Leeds City Council,Online or Face to Face,0,Free,2 days,Less than a week,Book Via Email,Certificate of completion,"[""Community work and engagement"", ""Healthcare Support"", ""Care Worker""]","[""Health Protection""]","[""Food""]",https://www.leeds.gov.uk/phrc/public-health-training/public-health-training-for-people-working-in-leeds,"[""Course""]",Approved,
108,"HENRY (Healthy Start, Brighter Future) Core Training","HENRY (Healthy Start, Brighter Future) Core Training
This two day course will help you further the develop skills, knowledge and confidence to support a healthy start in life. It will cover:

the importance of early years for lifelong wellbeing and obesity prevention
risk and protective factors for child obesity and a healthy start
the five elements of a healthy start - parenting, lifestyle habits, nutrition, physical activity and emotional wellbeing
working in partnership with families - a strength-based, solution-focused approach to supporting behaviour change
emotional dimensions of change - links between behaviours, feelings and needs - and the power of empathy as a catalyst for change
national guidance on healthy nutrition and physical activity for babies and young children",Leeds City Council,Online or Face to Face,0,Free,2 days,Less than a week,Book Via Email,Not Applicable,"[""All""]","[""Health Protection""]","[""Food""]",https://www.leeds.gov.uk/phrc/public-health-training/public-health-training-for-people-working-in-leeds,"[""Course""]",Approved,
109,Healthy Weight Coach Training Programme (HWC),"The overall aim of this training programme is to enhance the knowledge and skills of staff working within primary care to support positive changes to people’s health and health behaviours with the aim of promoting a healthier weight. The healthy weight coach is a voluntary role for individuals working within primary care networks, healthcare practices and pharmacies.
The programme consists of eight sessions which all need to be completed to ensure a healthy weight coach has the confidence and knowledge to have effective conversations with adults and be able to support them in their weight loss journey.",eLfH,Online,0,Free,x8 30 min sessions,Less than a day,Register for an eLfH account,Certificate of completion,"[""Allied Health Professionals"", ""Community work and engagement"", ""Doctor"", ""Dentist"", ""Nursing and Midwifery""]","[""Health and Wellbeing"", ""Health Prevention"", ""Health Promotion"", ""Health Protection""]","[""Healthy Weight""]",https://portal.e-lfh.org.uk/Component/Details/742102,"[""Course""]",Approved,
110,Healthy Living Awareness,"Healthy Living Awareness

The benefits of healthy eating, hydration, physical activity and sleep.
The risks to your health if nutrition, hydration, physical activity and sleep do not meet the recommended amounts.
How you can make small changes to move towards a healthier lifestyle.",Leeds Health and Care Academy,Online,0,Free,25 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Health and Wellbeing"", ""Health Prevention"", ""Health Promotion"", ""Health Protection""]","[""Health Promotion""]",https://leedshealthandcarelearningportal.org/course/view.php?id=179,"[""Course""]",Approved,
111,Health Related Street Outreach,Health related street outreach is the delivery of healthcare or related support to people wherever they are. It aims to reduce health inequalities by bringing care to people who face the greatest barriers to accessing it.,Fairhealth,Online,0,Free,2 hours,Less than a day,Register on website,Certificate of completion,"[""All""]","[""Health Inclusion Groups""]","[""Homelessness""]",https://www.fairhealth.org.uk/course/street-outreach,"[""Course""]",Approved,
112,Health Literacy Awareness,Our one hour health literacy awareness session highlights some of the barriers that affect people’s understanding and use of health information. It also provides tools and resources for healthcare professionals to support patients to make more informed decisions about their healthcare.,Leeds Libraries,Online,0,Free,60 mins,Less than an hour,Register on website,Not Applicable,"[""All""]","[""Health Promotion"", ""Health Protection"", ""Wider social determinants of Health""]","[""Health Literacy - Advanced""]",https://www.leedslibraries.nhs.uk/information-skills-training#c6352,"[""Course""]",Approved,
113,Health Literacy,"Promoting health literacy is everyone’s responsibility. By completing this programme, learners will find out why health literacy is important and how to use some simple techniques including TeachBack, chunk and check, using pictures and simple language to improve how they communicate and check understanding with others. The programme is aimed at the wider public health workforce, particularly in health, social care and the charitable sector. The programme provides an introduction to health literacy, why it is important and the core techniques that can be used to improve health literacy.
Health literacy, literacy, health, TeachBack, chunk and check, patient communication, patient information, shared decision making, universal precautions, self-activation, self-management, wellbeing",eLfH,Online,0,Free,30 mins,Less than an hour,Register for an eLfH account,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion"", ""Wider social determinants of Health""]","[""Health Literacy - basics""]",http://portal.e-lfh.org.uk/Component/Details/601299,"[""Course""]",Approved,
114,Health inequalities and secondary care,"1. Describe the concepts of health inequalities, health inequity, and deprivation.
2. Understand the social determinants of health and the role of healthcare in determining health outcomes
3. Begin to consider the place of secondary care in reducing health inequity.",Fairhealth,Online,0,Free,60 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Health Inequalities""]","[""Secondary Care""]",https://www.fairhealth.org.uk/course/health-inequalities-secondary-care,"[""Course""]",Approved,
115,Health Inequalities,"This course explores health inequalities; what they are and why they matter to patients, communities and practitioners. The first module offers an introduction to health inequalities which will be relevant to all practitioners in the United Kingdom, as well as an overview of NHS England and Improvement’s Health Inequalities Improvement Programme. In the module on leadership we examine a number of approaches to tackling health inequalities at various levels of influence and with a focus on practical actions to make a difference.",Royal College of General Practitioners Learning,Online,0,Free,45 mins,Less than an hour,Register on website,CPD Credits,"[""All""]","[""Health Inequalities""]","[""Health Equity - basic""]",https://elearning.rcgp.org.uk/enrol/index.php?id=499,"[""Course""]",Approved,
116,Health Equity Assessment Tool,"The Office for Health Improvement &amp; Disparities (OHID) has refreshed the Health Equity Assessment Tool (HEAT) developed by Public Health England (PHE) to enable professionals and communities to systematically identify and address health inequalities and equity in their work programmes or services. This elearning supports the use of the tool, providing the context and purpose, outlining the benefits of using the tool, and taking the learner step-by-step through each stage of the tool. It also provides a general introduction to health inequalities and equity, as well as, examples of good practice.
Alongside this elearning, you may find the tool and additional resources on the OHID HEAT website. For enquiries relating the operation of the tool email HEAT-Tool@DHSC.Gov.UK.",Learning Hub,Online,0,Free,20 minutes,Less than an hour,Register on website,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion"", ""Wider social determinants of Health""]","[""Assessment Tool"", ""HEAT""]",https://learninghub.nhs.uk/catalogue/Health-Equity/about#catalogue-details,"[""Course""]",Approved,
117,Handling challenging situations,"This course covers how to recognise and address challenging situations using strategies developed through psychological theories and relevant case studies.
You’ll learn how to recognise the warning signs of conflict occurring or escalating and use strategies to deal with situations where aggression is escalating.",Shelter,Online or Face to Face,160,Paid,One day,Less than a day,Register on website,CPD Credits,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""0""]",https://england.shelter.org.uk/professional_resources/shelter_training/professional_skills/handling_challenging_situations_course,"[""Course""]",Approved,
118,Gender Matters,"key provisions of the Equality Act 2010
the impact of gender inequality at work
factors that support and inhibit gender balance at work
specific issues faced by transgender and non-binary people
the benefits of a gender-inclusive workplace
how to build a gender-inclusive culture through organisational change.",Leeds Health and Care Academy,Online or Face to Face,0,Free,30-60 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Health Inclusion Groups""]","[""LGBTQ+""]",https://leedshealthandcarelearningportal.org/enrol/index.php?id=46,"[""Course""]",Approved,
119,"Food safety, nutrition and hydration for adults","Food safety, nutrition and hydration for adults
If you are a frontline worker, this free one day Healthy Living Training course will enable you to effectively deliver messages around healthy lifestyles, food and physical activity.
This course includes:

common beliefs and influences around food and physical activity
the Eatwell guide
food hygiene
physical activity",Leeds City Council,Online or Face to Face,0,Free,TBC,Less than a day,Register on website,Not Applicable,"[""Leeds City Council""]","[""Health Promotion""]","[""Food""]",https://www.leeds.gov.uk/phrc/public-health-training/public-health-training-for-people-working-in-leeds,"[""Course""]",Approved,
120,FGM Assessment Tool,To enable confident use of the National FGM Centre’s FGM Assessment Tool to enhance professional risk assessments of FGM cases.,National FGM Centre,Face to Face,695,Paid,1/2 day and full day,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Safeguarding""]","[""Female Genital Mutilation"", ""FGM""]",https://nationalfgmcentre.org.uk/wp-content/uploads/2022/09/NFGMC-Training-Booklet.pdf,"[""Course""]",Approved,
121,Level 3: Health Equity in Leadership and Management - Fairer Healthier Leeds,"Level 3: Health Equity in Leadership and Management - Fairer Healthier Leeds

Consider how accessible your services are for a diverse population and take practical steps to address any challenges
Work with colleagues from across the Leeds health and care system to share good practice
Use local data to identify trends and inform decisions
Support the wellbeing of our workforce and create healthy workplace cultures
Lead by example, embedding a culture of fairness and equality in our teams
Create a practical, achievable plan to take back in to the workplace",Leeds Health and Care Academy,Face to Face,0,Free,0,Less than a day,Register on website,Certificate of completion,"[""All"", ""Manager"", ""Line Manager"", ""Team Leaders""]","[""Health Prevention"", ""Health Promotion"", ""Wider social determinants of Health""]","[""health Inequalities""]",https://leedshealthandcarelearningportal.org/course/view.php?id=202,"[""Course""]",Approved,
122,Level 2: Health Equity in Public Facing Roles - Fairer Healthier Leeds,"Level 2: Health Equity in Public Facing Roles - Fairer Healthier Leeds

Gain an understanding of how health inequalities can show up in our workplaces
Understand the impact of health inequalities on individuals and communities
Increase confidence in discussing sensitive subjects
Explore practical skills to support our every day interactions that can really make a difference without needing a great deal of time or resource.",Leeds Health and Care Academy,Face to Face,0,Free,0,Less than a day,Register on website,Certificate of completion,"[""All""]","[""Health Prevention"", ""Health Protection"", ""Wider social determinants of Health""]","[""health Inequalities""]",https://leedshealthandcarelearningportal.org/course/view.php?id=201,"[""Course""]",Approved,
123,Level 1: Essential Health Equity Knowledge - Fairer Healthier Leeds,"Level 1: Essential Health Equity Knowledge - Fairer Healthier Leeds
Some people experience poor health because of factors beyond their control. Through your work in health and social care, you help make Leeds a fairer and healthier city.
This e-learning module which will raise awareness of health inequalities in Leeds, the impact they have and how they can be addressed.
This is a short animated film followed by a brief knowledge test, once you have completed them you can access a certificate.
&nbsp;",Leeds Health and Care Academy,Online,0,Free,0,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Health Prevention"", ""Health Promotion"", ""Wider social determinants of Health""]","[""health Inequalities""]",https://leedshealthandcarelearningportal.org/course/view.php?id=210,"[""Course""]",Approved,
124,Facing Anger and Emotion,"how the fight or flight response affects our reactions to situations
how arguments can escalate and why it’s important not to meet anger with anger
the importance of using the right language and tone of voice when dealing with someone who is angry or emotional
strategies for defusing emotionally charged situations and taking control.",Leeds Health and Care Academy,Online,0,Free,0,Less than an hour,Register on website,Not Applicable,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Anger""]",https://leedshealthandcarelearningportal.org/course/view.php?id=75,"[""Course""]",Approved,
125,Encouraging Vaccination Uptake,"Through this course, you will be equipped with all the information you need to raise awareness and build support for vaccination programmes, including:


How vaccination programmes provide protection for both individuals and the wider community
Individual and societal factors that can lead to concerns or hesitancy about vaccines, and sources of reliable information
How to use behaviour change techniques to have conversations about vaccines and support individuals making the decision to receive a vaccination",Royal Society for Public Health,Online,150,Paid,7 hours,Less than a day,Register on website,CPD Credits,"[""Allied Health Professionals"", ""Community work and engagement"", ""Doctor"", ""Dentist"", ""Nursing and Midwifery""]","[""Health Promotion""]","[""Immunisations"", ""Vaccination""]",https://www.rsph.org.uk/qualifications-training/online-courses/level-2-encouraging-vaccination-uptake/,"[""Course""]",Approved,
126,Eligibility for housing assistance for non UK and EEA nationals,Learn when a non UK national from outside the EEA might be eligible for housing or homelessness assistance.,Shelter,Online,0,Free,90 mins,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Health Inclusion Groups""]","[""Asylum Seekers"", ""Migrants"", ""Migration""]",https://england.shelter.org.uk/professional_resources/shelter_training/homelessness_applications/eligibility_for_housing_assistance_nonuk_nationals_course,"[""Course""]",Approved,
127,Eligibility for housing assistance for EEA nationals,Learn when an EEA national and their family members might be eligible for housing and homelessness assistance.,Shelter,Online,0,Free,90 mins,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Wider social determinants of Health""]","[""Housing""]",https://england.shelter.org.uk/professional_resources/shelter_training/homelessness_applications/eligibility_for_housing_assistance_eea_nationals_course,"[""Course""]",Approved,
128,Effective Therapeutic Support for Asylum Seekers,"Effective Therapeutic Support for Asylum Seekers
It is the second in our series of eLearning courses, following on from Understanding Refugee and Asylum Seeker Mental Health and Wellbeing, which offers an overview of the global and UK refugee context along with a range of relevant factors impacting the lives of asylum seekers and refugees.
If you do not have a foundation level of understanding of the background of the asylum process in the UK and implications for those in that system, then you will need to complete course 1 before you proceed.",Solace,Online,0,Free,9 Modules,Less than a week,Register on website,Certificate of completion,"[""All""]","[""Health Inclusion Groups""]","[""Asylum Seekers"", ""Refugees""]",https://www.solace-uk.org.uk/training/courses/effective-therapeutic-support-for-asylum-seekers,"[""Course""]",Approved,
129,Drugs and alcohol training programme - Forward Leeds,"Increased awareness of brief Interventions
Provide some basic tools and worksheets
How to refer into alcohol or drug services
Where to access leaflets and information
An increase in substance-specific awareness",Forward Leeds,Online or Face to Face,0,Free,NA,Less than a day,Register on website,Certificate of completion,"[""Leeds City Council""]","[""Health Inclusion Groups""]","[""Alcohol and/or Drugs""]",https://www.forwardleeds.co.uk/get-help/training/#ListOfCourses,"[""Course""]",Approved,
130,Drug and Alcohol Awareness Training,"Drug and Alcohol Awareness Training

Understand UK drug and alcohol laws and current trends
Identify categories of psychoactive substances
Recognise physical and psychological effects
Explore the cycle of change and treatment goals
Apply brief interventions and signpost to specialist services",Inspire North,Face to Face,99,Paid,1 day,Less than a day,Register on website,Certificate of completion,"[""All""]","[""Health Inclusion Groups""]","[""Alcohol and/or Drugs""]",https://www.inspirenorth.co.uk/training/learning-and-development/dral/,"[""Course""]",Approved,
131,Domestic Violence and Abuse: The Essentials,"½-day CPD-certificated interactive workshop delivered live across zoom. Covers the essential information everyone who works with members of the public should know about domestic violence and abuse in order to identify it and offer appropriate support.
By the end of the session, you will be able to:
• Understand the statutory definition of domestic abuse under the 2021 DA Act
• Identify the different areas of abuse
• Give examples of different types of abuse
• Recognise the complex dynamics of an abusive relationship, including why people don’t leave
• Recognise some key signs and symptoms of domestic violence and abuse
• Identify potential cases of domestic violence and abuse amongst the people you work with
• Appropriately discuss and address domestic violence and abuse with individuals who may be affected",Behind Closed Doors,Online,30,Paid,3 1/2 hours,Less than a day,0,Introductory,"[""All""]","[""Domestic Abuse"", ""Safeguarding""]","[""Domestic Abuse""]",https://behind-closed-doors.org.uk/training/domestic-abuse-training/,"[""Course""]",Approved,
132,Domestic Abuse: Supporting Employees in the Workplace,"the different types of domestic abuse
the prevalence and impact of domestic abuse
common myths and misconceptions around domestic abuse and the stigma that exists around it
why those experiencing abuse may be unwilling to disclose it or seek help
why certain minority and marginalised groups can face additional barriers to disclosing abuse or accessing support
how to recognise when domestic abuse may be occurring
how to have workplace conversations about domestic abuse
how to take effective action if someone discloses abuse
how to create a workplace domestic violence and abuse policy.",Leeds Health and Care Academy,Online,0,Free,45 mins,Less than an hour,Register on website,Not Applicable,"[""All""]","[""Culture""]","[""Domestic Violence"", ""Workplace Culture""]",https://leedshealthandcarelearningportal.org/enrol/index.php?id=72,"[""Course""]",Approved,
133,Domestic Abuse: Honour Based Abuse and Forced Marriage,"Understand what we mean by Honour Based Abuse (including virginity testing and hymenoplasty)
Recognise the signs and indicators of HBA and FM
Understand which behaviours may be deemed as dishonourable
Identify the barriers to reporting these types of abuse
Distinguish between an arranged marriage and a forced marriage
Understand what is Child Marriage
Understand forced marriage for Adults with Care and Support Needs
Improve your knowledge on Forced Marriage Legislation and Forced Marriage Protection Orders (FMPO)
Learn about good practice when speaking to a victim/survivor of HBA and FM

Domestic Abuse",Leeds City Council,Online or Face to Face,0,Free,0,Less than a day,Register on website,Not Applicable,"[""All""]","[""Domestic Abuse"", ""Safeguarding""]","[""Honour Based Abuse""]",https://events.teams.microsoft.com/event/1b31e791-eb1f-4835-a266-ff5a04b0c403@16864fae-286e-4707-a78b-d7188d6149a7,"[""Course""]",Approved,
134,Disability Confidence,"This training will give a better understanding of:

the advantages of being disability confident
why we may need to challenge our attitudes to disability
the requirements of the Equality Act 2010 with regards to disabled people
the most appropriate ways to work with disabled colleagues and how to communicate with and serve disabled customers
the types of ‘reasonable adjustments’ that need to be made for staff and customers with disabilities
the importance of promoting appropriate behaviour in relation to deliberate bullying and harassment
the knowledge and skills necessary to work successfully as part of a diverse team.",Leeds Health and Care Academy,Online or Face to Face,0,Free,30-60 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Wider social determinants of Health""]","[""Disability""]",https://leedshealthandcarelearningportal.org/enrol/index.php?id=52,"[""Course""]",Approved,
135,Diagnosing breast cancer in Black women,"This course aims to inform GPs about the experiences of Black women with breast cancer. It explores the specific risk factors, challenges related to timely diagnosis, and the lived experience of Black women during the diagnosis process. The course will also address the social and cultural barriers to healthcare, using case studies to support GPs develop culturally sensitive and effective approaches to care.",Royal College of General Practitioners Learning,Online,0,Free,30 minutes,Less than an hour,Register on website,CPD Credits,"[""Doctor"", ""Dentist""]","[""0""]","[""Black Women"", ""Breast Cancer""]",https://elearning.rcgp.org.uk/course/view.php?id=891,"[""Course""]",Approved,
136,Demystifying data,"Demystifying data

Performing a health needs assessment in Primary Care.
Understand a range of data tools available to primary care to segment or stratify your population by healthcare access and outcomes
Be able to manipulate data outputs from data tools linked to your population
Identify a potential population experiencing health inequity where an intervention could be delivered locally.
Implement links between service providers in your primary care landscape to tackle the identified health inequality locally.",Fairhealth,Online,0,Free,1-2 hours,Less than a day,Register on website,Certificate of completion,"[""Allied Health Professionals"", ""Community work and engagement"", ""Doctor"", ""Dentist"", ""Nursing and Midwifery""]","[""Data""]","[""data"", ""Health Needs Assessment""]",https://www.fairhealth.org.uk/course/demystifying-data,"[""Course""]",Approved,
137,Dealing With Sensitive Issues: Overview,"Dealing With Sensitive Issues: Overview

The importance of taking action early to stop issues from escalating
How to broach personal issues and address them sensitively and effectively
Considerations around employees' privacy and confidentiality
Key legal considerations for employers when dealing with sensitive issues at work",Leeds Health and Care Academy,Online,0,Free,40 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Sensitive topics""]",https://leedshealthandcarelearningportal.org/enrol/index.php?id=98,"[""Course""]",Approved,
138,Dealing With Sensitive Issues: Alcohol,"Dealing With Sensitive Issues: Alcohol

why alcohol misuse can cause problems in the workplace
when it’s time to intervene
how to broach the subject and address it effectively
legal considerations for employers when drawing up alcohol policies and dealing with problematic drinking.",Leeds Health and Care Academy,Online,0,Free,40 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Alcohol"", ""Sensitive topics""]",https://leedshealthandcarelearningportal.org/course/view.php?id=91,"[""Course""]",Approved,
139,Dealing with landlord harassment and unlawful eviction,"Learn about landlord harassment and unlawful eviction, and the potential remedies available to tenants.",Shelter,Online,0,Free,90 mins,Less than a day,Register on website,CPD Credits,"[""Leeds City Council""]","[""Wider social determinants of Health""]","[""Housing""]",https://england.shelter.org.uk/professional_resources/shelter_training/possession_and_eviction/landlord_harassment_unlawful_eviction_course,"[""Course""]",Approved,
140,Cultural awareness in the workplace,"Cultural awareness in the workplace

why our cultural background is a fundamental part of our identity
how communication styles and body language can vary between cultures
how bias and stereotypes can lead us to make wrong assumptions about people from different cultures
the law regarding discrimination and harassment on the grounds of race and religion or belief
how to work successfully as part of a diverse team.",Leeds Health and Care Academy,Online,0,Free,60 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Culture""]","[""Cultural Awareness""]",https://leedshealthandcarelearningportal.org/course/view.php?id=53,"[""Course""]",Approved,
141,Creating an Environment Based on Respect,"Creating an Environment Based on Respect
This course will give a better understanding of:

How victims can take effective action to confront people who are bullying and harassing them
What bystanders can do to intervene and challenge unacceptable behaviour
The importance of supporting colleagues who are being bullied and harassed
The responsibility of managers and team leaders to deal with the issue of inappropriate behaviour robustly and effectively",Leeds Health and Care Academy,Online,0,Free,30-60 mins,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Workforce""]","[""Inclusion""]",https://leedshealthandcarelearningportal.org/enrol/index.php?id=56,"[""Course""]",Approved,
142,Core20Plus5 - Narrowing health inequalities in hypertension,Hypertension is the single biggest risk factor for hospitalisation and mortality from myocardial infarction and stroke. This session will discuss the health inequalities experienced in hypertension care and the role of the healthcare professional in narrowing that gap.,Learning Hub,Online,0,Free,0,Less than an hour,Register on website,Not Applicable,"[""All""]","[""Health Prevention"", ""Health Promotion"", ""Wider social determinants of Health""]","[""Core20Plus5""]",https://learninghub.nhs.uk/Resource/54532/Item,"[""Course""]",Approved,
143,Core20Plus5 - Narrowing health inequalities in severe mental illness (SMI),"People with severe mental illness have psychological problems that may severely impact on their ability to engage in functional and occupational activities. SMIs include schizophrenia, bipolar disorder and other psychoses. This session will look at the importance of health inequalities in clinical practice. It will also look at the causes of healthcare inequalities in access, experience or outcomes among patients with mental health issues.",Learning Hub,Online,0,Free,30 minutes,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Health Prevention"", ""Health Promotion"", ""Wider social determinants of Health""]","[""Core20Plus5""]",https://learninghub.nhs.uk/Resource/54524/Item,"[""Course""]",Approved,
144,Core20Plus5 - Narrowing health inequalities in maternity,Premature births and complications during pregnancy increase the risk of stillbirths and maternal mortality. This session will discuss the health inequalities experienced in maternity care and the role of the healthcare professional in narrowing that gap.,Learning Hub,Online,0,Free,30 minutes,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Health Prevention"", ""Health Promotion"", ""Wider social determinants of Health""]","[""Core20Plus5""]",https://learninghub.nhs.uk/Resource/54526/Item,"[""Course""]",Approved,
145,Core20Plus5 - Narrowing health inequalities in early cancer diagnosis,"Cancer is one of the biggest contributors to the life expectancy inequality gap between the most and least deprived regions. Early presentation, referral, screening and diagnosis will reduce emergency presentations and mortality from cancer. This session will discuss the health inequalities experienced in cancer care and the role of the healthcare professional in narrowing that gap.",Learning Hub,Online,0,Free,30 minutes,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Health Prevention"", ""Health Promotion"", ""Wider social determinants of Health""]","[""Core20Plus5""]",https://learninghub.nhs.uk/Resource/54530/Item,"[""Course""]",Approved,
146,Core20Plus5 - Narrowing health inequalities in chronic respiratory disease,"Chronic respiratory disease is one of the biggest contributors to the life expectancy inequality gap between the most and least deprived regions. This session will look at the importance of health inequalities in clinical practice. It will also look at the causes of healthcare inequalities in access, experience or outcomes among patients with chronic respiratory disease.",Learning Hub,Online,0,Free,30 minutes,Less than an hour,Register on website,Certificate of completion,"[""All""]","[""Health Prevention"", ""Health Promotion"", ""Wider social determinants of Health""]","[""Core20Plus5""]",https://learninghub.nhs.uk/Resource/54528/Item,"[""Course""]",Approved,
147,Community is the best medicine,The aim of this module is to enable primary care clinicians to understand the impact of community assets and deficits on peoples lives and the potential of their own role as members of a community to help address the social determinants of health,Fairhealth,Online,0,Free,60 mins,Less than an hour,Register on website,Certificate of completion,"[""Allied Health Professionals"", ""Community work and engagement"", ""Doctor"", ""Dentist"", ""Nursing and Midwifery""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Core20Plus5""]",https://www.fairhealth.org.uk/course/community-is-the-best-medicine,"[""Course""]",Approved,
148,Climate health equity,"The impacts of climate change are not fairly distributed amongst our community. They are amplified by other determinants of health, such as poor housing, and generally affect the most deprived in society more, despite this cohort usually contributing least to the problem. This course delivers an understanding of what climate health equity is and how those most vulnerable are impacted. It describes practical steps that GPs and primary healthcare teams can take to counteract the damaging effects of climate on their patients’ health, in the context of the wider determinants of health. This course falls within the Evidence based practice, research and sharing knowledge curriculum field.",Royal College of General Practitioners Learning,Online,0,Free,15 mins,Less than an hour,Register on website,CPD Credits,"[""All""]","[""Health Prevention"", ""Health Promotion"", ""Wider social determinants of Health""]","[""Climate Change""]",https://elearning.rcgp.org.uk/course/view.php?id=1200,"[""Course""]",Approved,
149,Challenging Behaviour,"Challenging Behaviour

Why certain behaviours are inappropriate
What constitutes bullying and harassment and the damage it can cause to your organisation
The legal responsibilities of employers and employees with regards to bullying and harassment under the Equality Act 2010
How to identify and respond to bullying and harassment in the workplace
The skills necessary to work successfully as part of a diverse team.",Leeds Health and Care Academy,Online,0,Free,40 mins,Less than an hour,Register on website,Not Applicable,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Challenging Behaviour""]",https://leedshealthandcarelearningportal.org/enrol/index.php?id=62,"[""Course""]",Approved,
150,Cannabis and THC vapes,"Cannabis and THC vapes
Aim: The course aims to build practitioners’ knowledge, skills and confidence to address and reduce harm from cannabis misuse
Objectives:

To provide practitioners with information on cannabis use.
For participants to gain knowledge about the effects of cannabis.
To provide resources and techniques to build confidence in offering support and brief advice for people affected by cannabis use.
To increase awareness of the types of support and services available to individuals and their families who are affected by cannabis use.",Forward Leeds,Online,0,Free,3 hours,Less than a day,Register on website,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Illicit Drugs""]",https://www.forwardleeds.co.uk/get-help/training/cannabis-the-current-picture/,"[""Course""]",Approved,
151,Building trust,"This training will give a better understanding of:

how and why trust develops
the difference between cognitive, emotional and transactional trust
why building and sustaining trust is a key skill for leaders
the impact of a breakdown or lack of trust
the importance of perspective-taking and empathy
steps we can take to improve our own ability to build and maintain trust.",Leeds Health and Care Academy,Online,0,Free,40 mins,Less than an hour,Register on website,Not Applicable,"[""All""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Building Trust""]",https://leedshealthandcarelearningportal.org/course/view.php?id=96,"[""Course""]",Approved,
152,Best practice on using the motivational interviewing technique FRAMES,Using case studies we will explore how to use FRAMES model in practice/ How motivational interviewing can effectively work in substance/alcohol use.,Forward Leeds,Face to Face,0,Free,3 hours,Less than a day,Register on website,Not Applicable,"[""All""]","[""Health Inclusion Groups""]","[""Alcohol and/or Drugs""]",https://www.forwardleeds.co.uk/get-help/training/best-practice-on-using-the-motivational-interviewing-technique-frames/,"[""Course""]",Approved,
153,Behaviour Change Literacy - Workforce Leaders Part 3: How to Support Your Teams to Do It,Behaviour Change Literacy - Workforce Leaders &gt; Behaviour Change Literacy - Workforce Leaders Part 3: How to Support Your Teams to Do It,eLfH,Online,0,Free,15 mins,Less than an hour,Register for an eLfH account,Not Applicable,"[""Manager"", ""Line Manager"", ""Team Leaders""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Behaviour Change""]",https://portal.e-lfh.org.uk/Component/Details/595679,"[""Course""]",Approved,
154,Behaviour Change Literacy - Workforce Leaders Part 2: How Do You Do It?,Behaviour Change Literacy - Workforce Leaders &gt; Behaviour Change Literacy - Workforce Leaders Part 2: How Do You Do It?,eLfH,Online,0,Free,15 mins,Less than an hour,Register for an eLfH account,Not Applicable,"[""Manager"", ""Line Manager"", ""Team Leaders""]","[""Communication"", ""Compassion"", ""Coordination""]","[""Behaviour Change""]",https://portal.e-lfh.org.uk/Component/Details/595676,"[""Course""]",Approved,
155,Behaviour Change Literacy - Workforce Leaders Part 1: What is Behaviour Change and Why Is It Important?,Behaviour Change Literacy - Workforce Leaders &gt; Behaviour Change Literacy - Workforce Leaders Part 1: What is Behaviour Change and Why Is It Important?,eLfH,Online,0,Free,15 mins,Less than an hour,Register for an eLfH account,Not Applicable,"[""Manager"", ""Line Manager"", ""Team Leaders""]","[""Communication""]","[""Behaviour Change""]",https://portal.e-lfh.org.uk/Component/Details/595673,"[""Course""]",Approved,
